par_pctile,tier,tier_name,par_mean,k_mean,k_rank,k_top1pc,k_top5pc,k_top10pc,k_q5,k_q4,k_q3,k_q2,k_q1,k_nowork,married,k_median,k_median_nozero,count,tot_count,density
36,4,Highly selective private,41500,62800,.6930680150739309,.036392406,.1693038,.30854431,.48417723,.21518987,.12341772,.096518986,.080696203,.072784811,.50316453,54300,57900,632,134098,.0047129709
36,5,Selective public,41500,42900,.5900461245697221,.0079507194,.058878303,.12542082,.27111238,.26903516,.20650384,.14311296,.11023565,.09956307,.51765633,37700,40900,13961,1944082,.0071812812
36,6,Selective private,41400,44900,.6039844484275321,.0088723525,.067258157,.14710933,.30394962,.26588437,.18460217,.13108185,.11448197,.098740697,.53348595,39800,43000,3494,486852,.0071767191
36,7,Nonselective four-year public,41400,32900,.5103892034020282,.0036483034,.029916087,.068223275,.15943086,.25209779,.23859906,.19336009,.15651222,.1393652,.44582269,28800,33800,2741,257854,.010630046
36,8,Nonselective four-year private not-for-profit,41500,31800,.5018464035133138,.0023640662,.030732861,.070921987,.17730497,.21749409,.21749409,.21513003,.17257683,.15839244,.49881798,28800,33000,423,55947,.0075607272
36,9,Two-year (public and private not-for-profit),41400,31700,.5000917363553645,.0020788992,.021679947,.059595108,.15740237,.22942138,.2453101,.20333613,.16453002,.14705737,.43374747,27700,32500,20203,2021451,.0099943057
36,10,Four-year for-profit,41400,32300,.5103375185455722,.0013504388,.027683996,.068872385,.16880485,.22349763,.25523296,.19918974,.15327482,.14044565,.34301147,28800,32800,1481,126025,.011751637
36,11,Two-year for-profit,41400,33000,.5238419261176772,0,.025,.060416669,.17291667,.23750001,.27083334,.19166666,.12708333,.11875001,.39166665,30600,33200,480,42313,.011344031
36,12,Less than two-year schools of any type,41400,29700,.4836218799460021,0,.016806722,.067226894,.13445379,.19327731,.26050422,.27731094,.13445379,.11764706,.40336135,26200,30000,119,10121,.011757731
36,13,Attending college with insufficient data,41600,30600,.4845158929384499,.0024478694,.023662737,.057026289,.14433363,.21024479,.24542159,.23272891,.16727108,.15095195,.41087943,25500,30600,11030,942344,.011704855
36,14.1,Late attender (ages 23-28),41500,22500,.4118214316547336,.00079244532,.0091791591,.027405402,.076537013,.15789473,.24222413,.31017631,.2131678,.18741333,.33989301,17300,22900,15143,1239448,.012217536
36,14.2,Never attended college (before year 2013),41500,19100,.3624044684252128,.00097390509,.0093380306,.024061184,.065881811,.13777892,.20463464,.24677037,.34493425,.32253444,.30019191,12500,23800,34911,2866578,.012178632
37,1,Ivy Plus,42800,90600,.7209884317618134,.11235955,.3033708,.3988764,.56741571,.15730338,.095505618,.084269665,.095505618,.095505618,.4775281,67000,73000,178,52724,.0033760716
37,2,Other elite schools (public and private),42700,68400,.6786254476889693,.050198149,.1968296,.31175694,.49669749,.18890356,.085865259,.099075295,.12945838,.11228534,.53104359,55900,62700,757,183973,.004114734
37,3,Highly selective public,42700,58200,.6657354971390433,.029126214,.12436431,.23670827,.41146556,.25288951,.148405,.098936662,.088303283,.079981506,.5455386,48100,51100,2163,393548,.0054961531
37,4,Highly selective private,42700,66600,.6943409293673458,.035031848,.15764332,.27866241,.50159234,.20063694,.12101911,.079617836,.097133756,.085987262,.56369424,55800,59700,628,134098,.0046831421
37,5,Selective public,42700,43300,.5913097119363067,.0096818814,.058713693,.12683265,.27385893,.27392808,.19834025,.14017981,.11369295,.10352697,.51977873,38300,41800,14460,1944082,.0074379579
37,6,Selective private,42700,45700,.6050124567791742,.012436405,.070096098,.14782363,.30469191,.26568684,.18202375,.13538723,.11221029,.10146976,.54691917,40100,43600,3538,486852,.0072670956
37,7,Nonselective four-year public,42700,32500,.5163744200414803,.0010845987,.020968908,.057122197,.16088215,.26102674,.24367318,.18221258,.15220535,.13738251,.46493131,30500,34800,2766,257854,.010727
37,8,Nonselective four-year private not-for-profit,42700,31800,.4959297490530542,.0021881838,.032822758,.065645516,.17943107,.2013129,.22538294,.21225382,.18161926,.15973742,.51859957,26600,33100,457,55947,.008168445
37,9,Two-year (public and private not-for-profit),42600,31600,.5016302127166397,.0022985132,.02274061,.060201488,.1584018,.23205203,.24202856,.20696402,.1605536,.14524648,.43593505,27800,32600,20448,2021451,.010115506
